1,Compassion Outreach,"Comparaverit, nihil esse prosperum nisi voluptatem, nihil asperum nisi dolorem, de quibus neque depravate iudicant neque corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque comprehenderit, ut omnes bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile efficere possit, quod melius sit, accedere? Statue contra aliquem confectum tantis animi corporisque.",deleted,871-62-3499,V,1,2023-10-21T13:44:36+00:00,2024-05-16T00:49:29+00:00
2,Helping Hands Foundation,Esse negent. Contra quos omnis dicendum breviter existimo. Quamquam philosophiae quidem vituperatoribus satis responsum.,deleted,163-33-9674,M,0,2024-04-02T19:36:35+00:00,2024-08-27T12:57:13+00:00
3,Community Care Initiative,"Ad minuendas vitae molestias accessio potest fieri, quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium? Et tamen in quibusdam neque pecuniae modus est neque honoris neque imperii nec libidinum nec epularum nec reliquarum cupiditatum, quas nulla.",inactive,076-20-2272,P,1,2023-09-29T16:06:45+00:00,2023-10-07T10:41:24+00:00
4,Network of Kindness,"Mutae etiam bestiae paene loquuntur magistra ac duce natura nihil esse maius amicitia, nihil uberius, nihil iucundius. Nec vero quisquam stultus non horum morborum aliquo laborat, nemo igitur est non miser. Accedit etiam mors, quae quasi delapsa de caelo est ad quiete vivendum, caritatem, praesertim cum omnino nulla sit causa peccandi. Quae enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem de bene beateque vivendo a Platone disputata sunt, haec explicari non placebit Latine? Quid? Si nos non interpretum fungimur munere, sed tuemur ea, quae dixi, sole ipso illustriora et clariora sunt, si omnia dixi hausta e fonte naturae, si tota oratio nostra omnem sibi fidem sensibus confirmat, id est voluptatem et dolorem? Sunt autem quidam e nostris, qui haec subtilius velint tradere.",deleted,853-43-6043,J,1,2023-11-06T09:38:06+00:00,2024-08-16T04:39:01+00:00
5,Hope and Love Charity,"Quo gaudemus, voluptas est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e theatro exeamus. Quibus rebus intellegitur nec intemperantiam propter se ipsos penitus perdiderunt, sic robustus animus et excelsus omni est.",deleted,147-64-0519,J,0,2024-03-04T09:40:06+00:00,2024-05-27T07:34:54+00:00
6,Charity One,"Aut pecuniae studuisse aut imperiis aut opibus aut gloriae. Nullas enim consequuntur voluptates, quarum potiendi spe.",inactive,983-83-1067,V,0,2023-10-29T04:21:19+00:00,2024-05-01T00:08:59+00:00
7,Helping Hands Foundation,"Vituperata ab Hortensio. Qui liber cum et mortem contemnit, qua qui est imbutus quietus esse numquam potest. Praeterea bona praeterita grata recordatione renovata delectant. Est autem situm in nobis ut et voluptates repudiandae sint et molestiae.",deleted,009-71-5387,G,0,2024-06-25T00:20:15+00:00,2024-03-04T12:44:01+00:00
8,United Charities Alliance,"Civium? Et tamen in quibusdam neque pecuniae modus est neque honoris neque imperii nec libidinum nec epularum nec reliquarum cupiditatum, quas nulla praeda umquam improbe parta minuit, sed potius inflammat, ut coercendi magis quam dedocendi esse videantur. Invitat igitur vera ratio bene sanos in viam placatae, tranquillae, quietae, beatae vitae dicta sunt, quem ad modum sit.",deleted,094-89-4840,V,0,2024-09-13T01:10:21+00:00,2024-05-01T20:22:10+00:00
9,United Charities Alliance,"Nec cum iracundia aut pertinacia recte disputari potest. Sed ad rem redeamus; de hominibus dici non necesse est. Tribus igitur modis video esse a nostris de amicitia disputatum. Alii cum eas voluptates, quae ad amicos pertinerent, negarent esse per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum periculum adiit. -- In oculis quidem exercitus. .",deleted,910-66-1696,V,0,2024-05-21T17:08:19+00:00,2024-07-09T20:08:13+00:00
10,Change Makers Association,"Atqui pugnantibus et contrariis studiis consiliisque semper utens nihil quieti videre, nihil.",deleted,986-04-7038,G,0,2024-02-11T20:46:12+00:00,2023-10-19T10:59:11+00:00
